sensor,rmse_without,rmse_with,improvement_pct
S2 (vs Climate-only),9.961967547857778,7.634456691282246,23.363967463194964
S1 (vs S2+Climate),7.634456691282246,7.675067440796926,-0.5319402697123663
PS (vs S2+S1+Climate),7.675067440796926,7.237512236773467,5.700994908495898
